Date,Price
2023.6.1,2608.54
2023.5.1,2577.12
2023.4.1,2501.53
2023.3.1,2476.86
2023.2.1,2412.85
2023.1.1,2425.08
2022.12.1,2236.40
2022.11.1,2472.53
2022.10.1,2293.61
2022.9.1,2155.49
2022.8.1,2472.05
2022.7.1,2451.50
2022.6.1,2332.64
2022.5.1,2685.90
2022.4.1,2695.05
2022.3.1,2757.65
2022.2.1,2699.18
2022.1.1,2663.34
2021.12.1,2977.65
2021.11.1,2839.01
2021.10.1,2970.68
2021.9.1,3068.82
2021.8.1,3199.27
2021.7.1,3202.32
2021.6.1,3296.68
2021.5.1,3203.92
2021.4.1,3147.86
2021.3.1,3061.42
2021.2.1,3012.95
2021.1.1,2976.21
2020.12.1,2873.47
2020.11.1,2591.34
2020.10.1,2267.15
2020.9.1,2327.89
2020.8.1,2326.17
2020.7.1,2249.37
2020.6.1,2108.33
2020.5.1,2029.60
2020.4.1,1947.56
2020.3.1,1754.64
2020.2.1,1987.01
2020.1.1,2119.01
2019.12.1,2197.67
2019.11.1,2087.96
2019.10.1,2083.48
2019.9.1,2063.05
2019.8.1,1967.79
2019.7.1,2024.55
2019.6.1,2130.62
2019.5.1,2041.74
2019.4.1,2203.59
2019.3.1,2140.67
2019.2.1,2195.44
2019.1.1,2204.85
2018.12.1,2041.04
2018.11.1,2096.86
2018.10.1,2029.69
