year,2023_entire,2065_entire,2023_male,2065_male,2023_female,2065_female
0_4,"1,374,609","921,971","704,930","472,691","669,679","449,280"
5_9,"2,024,713","919,405","1,037,417","470,795","987,296","448,610"
10_14,"2,286,695","1,079,623","1,175,485","552,429","1,111,210","527,194"
15_19,"2,281,595","1,291,884","1,178,494","659,713","1,103,101","632,171"
20_24,"2,914,183","1,514,439","1,527,109","785,303","1,387,074","729,136"
25_29,"3,562,623","1,730,814","1,892,488","911,194","1,670,135","819,620"
30_34,"3,483,644","1,780,707","1,851,469","931,968","1,632,175","848,739"
35_39,"3,322,429","1,543,504","1,729,806","799,873","1,592,623","743,631"
40_44,"4,055,406","1,405,632","2,078,374","719,569","1,977,032","686,063"
45_49,"3,921,880","1,939,183","1,992,320","988,357","1,929,560","950,826"
50_54,"4,517,041","2,459,697","2,277,834","1,255,069","2,239,207","1,204,628"
55_59,"4,061,077","2,432,653","2,030,226","1,247,660","2,030,851","1,184,993"
60_64,"4,252,206","2,647,369","2,099,546","1,370,186","2,152,660","1,277,183"
65_69,"3,273,593","3,335,110","1,585,219","1,723,497","1,688,374","1,611,613"
70_74,"2,240,360","3,443,583","1,050,102","1,790,657","1,190,258","1,652,926"
75_79,"1,643,360","3,001,549","726,761","1,515,459","916,599","1,486,090"
80_84,"1,325,872","3,219,667","517,770","1,546,953","808,102","1,672,714"
85_89,"704,923","2,610,882","225,017","1,169,355","479,906","1,441,527"
90_94,"249,986","1,835,403","58,645","730,656","191,341","1,104,747"
95_99,"53,667","770,993","9,452","256,713","44,215","514,280"
