,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0
1,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0,20790.0
2,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1,20582.1
3,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002,20376.279000000002
4,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998,20172.516209999998
5,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479,19970.7910479
6,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421,19771.083137421
7,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679,19573.37230604679
8,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632,19377.63858298632
9,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457,19183.862197156457
10,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892,18992.023575184892
11,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044,18802.103339433044
