,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0
1,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0,11781.0
2,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19,11663.19
3,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581,11546.5581
4,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519,11431.092519
5,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381,11316.78159381
6,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719,11203.6137778719
7,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318,11091.57764009318
8,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249,10980.661863692249
9,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325,10870.855245055325
