,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0,13650.0
1,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5,13513.5
2,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365,13378.365
3,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135,13244.58135
4,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365,13112.1355365
5,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999,12981.014181134999
6,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365,12851.20403932365
7,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412,12722.691998930412
8,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108,12595.465078941108
9,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698,12469.510428151698
10,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018,12344.81532387018
11,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478,12221.367170631478
12,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163,12099.153498925163
13,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591,11978.16196393591
