Date,Mkt,CPI,RF
1928-01-01,-0.0043,17.3,0.0025
1928-02-01,-0.0137,17.1,0.0033
1928-03-01,0.091,17.1,0.0029
1928-04-01,0.0445,17.1,0.0022
1928-05-01,0.0184,17.2,0.0032
1928-06-01,-0.0454,17.1,0.0031
1928-07-01,0.0094,17.1,0.0032
1928-08-01,0.07,17.1,0.0032
1928-09-01,0.0315,17.3,0.0027
1928-10-01,0.0174,17.2,0.0040999999999999995
1928-11-01,0.1219,17.2,0.0038
1928-12-01,0.0042,17.1,0.0006
1929-01-01,0.05,17.1,0.0034000000000000002
1929-02-01,0.0002,17.1,0.0036
1929-03-01,-0.0055,17.0,0.0034000000000000002
1929-04-01,0.0179,16.9,0.0036
1929-05-01,-0.0595,17.0,0.0044
1929-06-01,0.1022,17.1,0.0052
1929-07-01,0.0479,17.3,0.0033
1929-08-01,0.0858,17.3,0.004
1929-09-01,-0.0512,17.3,0.0034999999999999996
1929-10-01,-0.1966,17.3,0.0046
1929-11-01,-0.1237,17.3,0.0037
1929-12-01,0.017,17.2,0.0037
1930-01-01,0.0575,17.1,0.0014000000000000002
1930-02-01,0.028,17.0,0.003
1930-03-01,0.0745,16.9,0.0034999999999999996
1930-04-01,-0.0185,17.0,0.0021
1930-05-01,-0.014,16.9,0.0026
1930-06-01,-0.16,16.8,0.0027
1930-07-01,0.0432,16.6,0.002
1930-08-01,0.0039,16.5,0.0009
1930-09-01,-0.1253,16.6,0.0022
1930-10-01,-0.0869,16.5,0.0009
1930-11-01,-0.0291,16.4,0.0013
1930-12-01,-0.0769,16.1,0.0014000000000000002
1931-01-01,0.0639,15.9,0.0015
1931-02-01,0.1092,15.7,0.0004
1931-03-01,-0.063,15.6,0.0013
1931-04-01,-0.099,15.5,0.0008
1931-05-01,-0.1315,15.3,0.0009
1931-06-01,0.1398,15.1,0.0008
1931-07-01,-0.0656,15.1,0.0006
1931-08-01,0.0044,15.1,0.0003
1931-09-01,-0.291,15.0,0.0003
1931-10-01,0.0814,14.9,0.001
1931-11-01,-0.0891,14.7,0.0017000000000000001
1931-12-01,-0.1341,14.6,0.0012
1932-01-01,-0.0135,14.3,0.0023
1932-02-01,0.0569,14.1,0.0023
1932-03-01,-0.1105,14.0,0.0016
1932-04-01,-0.1785,13.9,0.0011
1932-05-01,-0.2045,13.7,0.0006
1932-06-01,-0.0068,13.6,0.0002
1932-07-01,0.3387,13.6,0.0003
1932-08-01,0.3709,13.5,0.0003
1932-09-01,-0.0291,13.4,0.0003
1932-10-01,-0.1315,13.3,0.0002
1932-11-01,-0.0586,13.2,0.0002
1932-12-01,0.0441,13.1,0.0001
1933-01-01,0.0126,12.9,0.0001
1933-02-01,-0.1527,12.7,-0.0003
1933-03-01,0.0333,12.6,0.0004
1933-04-01,0.3895,12.6,0.001
1933-05-01,0.2147,12.6,0.0004
1933-06-01,0.1313,12.7,0.0002
1933-07-01,-0.0961,13.1,0.0002
1933-08-01,0.1208,13.2,0.0003
1933-09-01,-0.1063,13.2,0.0002
1933-10-01,-0.0835,13.2,0.0001
1933-11-01,0.0999,13.2,0.0002
1933-12-01,0.0185,13.2,0.0002
1934-01-01,0.1265,13.2,0.0005
1934-02-01,-0.0248,13.3,0.0002
1934-03-01,0.0011,13.3,0.0002
1934-04-01,-0.0178,13.3,0.0001
1934-05-01,-0.0724,13.3,0.0001
1934-06-01,0.0265,13.4,0.0001
1934-07-01,-0.1095,13.4,0.0001
1934-08-01,0.0559,13.4,0.0001
1934-09-01,-0.0022,13.6,0.0001
1934-10-01,-0.0165,13.5,0.0001
1934-11-01,0.0834,13.5,0.0001
1934-12-01,0.0037,13.4,0.0001
1935-01-01,-0.0344,13.6,0.0001
1935-02-01,-0.0192,13.7,0.0002
1935-03-01,-0.0367,13.7,0.0001
1935-04-01,0.0907,13.8,0.0001
1935-05-01,0.0348,13.8,0.0001
1935-06-01,0.0594,13.7,0.0001
1935-07-01,0.0752,13.7,0.0001
1935-08-01,0.0266,13.7,0.0001
1935-09-01,0.0264,13.7,0.0001
1935-10-01,0.0704,13.7,0.0001
1935-11-01,0.049,13.8,0.0002
1935-12-01,0.0457,13.8,0.0001
1936-01-01,0.069,13.8,0.0001
1936-02-01,0.025,13.8,0.0001
1936-03-01,0.0101,13.7,0.0002
1936-04-01,-0.0812,13.7,0.0002
1936-05-01,0.0521,13.7,0.0002
1936-06-01,0.0243,13.8,0.0003
1936-07-01,0.0668,13.9,0.0001
1936-08-01,0.0101,14.0,0.0002
1936-09-01,0.0099,14.0,0.0001
1936-10-01,0.0714,14.0,0.0002
1936-11-01,0.0328,14.0,0.0001
1936-12-01,0.0021,14.0,0.0
1937-01-01,0.0336,14.1,0.0001
1937-02-01,0.0111,14.1,0.0002
1937-03-01,-0.0026,14.2,0.0001
1937-04-01,-0.0733,14.3,0.0003
1937-05-01,-0.0077,14.4,0.0006
1937-06-01,-0.0418,14.4,0.0003
1937-07-01,0.0894,14.5,0.0003
1937-08-01,-0.0484,14.5,0.0002
1937-09-01,-0.1357,14.6,0.0004
1937-10-01,-0.0959,14.6,0.0002
1937-11-01,-0.0829,14.5,0.0002
1937-12-01,-0.0424,14.4,0.0
1938-01-01,0.0049,14.2,0.0
1938-02-01,0.0584,14.1,0.0
1938-03-01,-0.2383,14.1,-0.0001
1938-04-01,0.1452,14.2,0.0001
1938-05-01,-0.0383,14.1,0.0
1938-06-01,0.2387,14.1,0.0
1938-07-01,0.0733,14.1,-0.0001
1938-08-01,-0.0267,14.1,0.0
1938-09-01,0.0083,14.1,0.0002
1938-10-01,0.0781,14.0,0.0001
1938-11-01,-0.0178,14.0,-0.0006
1938-12-01,0.0419,14.0,0.0
1939-01-01,-0.0597,14.0,-0.0001
1939-02-01,0.0352,13.9,0.0001
1939-03-01,-0.12,13.9,-0.0001
1939-04-01,-0.0018,13.8,0.0
1939-05-01,0.0681,13.8,0.0001
1939-06-01,-0.053,13.8,0.0001
1939-07-01,0.1024,13.8,0.0
1939-08-01,-0.0669,13.8,-0.0001
1939-09-01,0.1689,14.1,0.0001
1939-10-01,-0.0053,14.0,0.0
1939-11-01,-0.0362,14.0,0.0
1939-12-01,0.0303,14.0,0.0
1940-01-01,-0.0241,13.9,0.0
1940-02-01,0.0144,14.0,0.0
1940-03-01,0.0205,14.0,0.0
1940-04-01,0.0022,14.0,0.0
1940-05-01,-0.2197,14.0,-0.0002
1940-06-01,0.0667,14.1,0.0
1940-07-01,0.0317,14.0,0.0001
1940-08-01,0.0218,14.0,-0.0001
1940-09-01,0.0239,14.0,0.0
1940-10-01,0.0302,14.0,0.0
1940-11-01,-0.0161,14.0,0.0
1940-12-01,0.0069,14.1,0.0
1941-01-01,-0.0418,14.1,-0.0001
1941-02-01,-0.0144,14.1,-0.0001
1941-03-01,0.0085,14.2,0.0001
1941-04-01,-0.0547,14.3,-0.0001
1941-05-01,0.0139,14.4,0.0
1941-06-01,0.0583,14.7,0.0
1941-07-01,0.059,14.7,0.0003
1941-08-01,-0.0016,14.9,0.0001
1941-09-01,-0.0086,15.1,0.0001
1941-10-01,-0.0525,15.3,0.0
1941-11-01,-0.0192,15.4,0.0
1941-12-01,-0.0486,15.5,0.0001
1942-01-01,0.0081,15.7,0.0002
1942-02-01,-0.0245,15.8,0.0001
1942-03-01,-0.0657,16.0,0.0001
1942-04-01,-0.0436,16.1,0.0001
1942-05-01,0.0597,16.3,0.0003
1942-06-01,0.0271,16.3,0.0002
1942-07-01,0.0354,16.4,0.0003
1942-08-01,0.0183,16.5,0.0003
1942-09-01,0.0264,16.5,0.0003
1942-10-01,0.0685,16.7,0.0003
1942-11-01,0.0018,16.8,0.0003
1942-12-01,0.0515,16.9,0.0003
1943-01-01,0.0716,16.9,0.0003
1943-02-01,0.0618,16.9,0.0003
1943-03-01,0.0604,17.2,0.0003
1943-04-01,0.0084,17.4,0.0003
1943-05-01,0.0577,17.5,0.0003
1943-06-01,0.0185,17.5,0.0003
1943-07-01,-0.0474,17.4,0.0003
1943-08-01,0.0133,17.3,0.0003
1943-09-01,0.0243,17.4,0.0003
1943-10-01,-0.0112,17.4,0.0003
1943-11-01,-0.0588,17.4,0.0003
1943-12-01,0.0639,17.4,0.0003
1944-01-01,0.0177,17.4,0.0003
1944-02-01,0.004,17.4,0.0003
1944-03-01,0.0248,17.4,0.0002
1944-04-01,-0.0166,17.5,0.0003
1944-05-01,0.051,17.5,0.0003
1944-06-01,0.0552,17.6,0.0003
1944-07-01,-0.0146,17.7,0.0003
1944-08-01,0.016,17.7,0.0003
1944-09-01,0.0003,17.7,0.0002
1944-10-01,0.0019,17.7,0.0003
1944-11-01,0.0174,17.7,0.0003
1944-12-01,0.0405,17.8,0.0002
1945-01-01,0.0204,17.8,0.0003
1945-02-01,0.0625,17.8,0.0002
1945-03-01,-0.0387,17.8,0.0002
1945-04-01,0.0783,17.8,0.0003
1945-05-01,0.0176,17.9,0.0003
1945-06-01,0.0041,18.1,0.0002
1945-07-01,-0.0214,18.1,0.0003
1945-08-01,0.0623,18.1,0.0003
1945-09-01,0.048,18.1,0.0003
1945-10-01,0.0392,18.1,0.0003
1945-11-01,0.0541,18.1,0.0002
1945-12-01,0.0123,18.2,0.0003
1946-01-01,0.0627,18.2,0.0003
1946-02-01,-0.058,18.1,0.0003
1946-03-01,0.059,18.3,0.0003
1946-04-01,0.0426,18.4,0.0003
1946-05-01,0.0396,18.5,0.0003
1946-06-01,-0.0386,18.7,0.0003
1946-07-01,-0.0266,19.8,0.0003
1946-08-01,-0.0641,20.2,0.0003
1946-09-01,-0.1014,20.4,0.0003
1946-10-01,-0.0141,20.8,0.0003
1946-11-01,0.0002,21.3,0.0003
1946-12-01,0.0499,21.5,0.0003
1947-01-01,0.0128,21.5,0.0003
1947-02-01,-0.0105,21.5,0.0003
1947-03-01,-0.0164,21.9,0.0003
1947-04-01,-0.0477,21.9,0.0003
1947-05-01,-0.0094,21.9,0.0003
1947-06-01,0.0532,22.0,0.0003
1947-07-01,0.0417,22.2,0.0003
1947-08-01,-0.0171,22.5,0.0003
1947-09-01,-0.0048,23.0,0.0006
1947-10-01,0.0253,23.0,0.0006
1947-11-01,-0.0191,23.1,0.0006
1947-12-01,0.0308,23.4,0.0008
1948-01-01,-0.0386,23.7,0.0007000000000000001
1948-02-01,-0.0431,23.5,0.0007000000000000001
1948-03-01,0.0816,23.4,0.0009
1948-04-01,0.0373,23.8,0.0008
1948-05-01,0.0738,23.9,0.0008
1948-06-01,-0.0001,24.1,0.0009
1948-07-01,-0.0501,24.4,0.0008
1948-08-01,0.0034,24.5,0.0009
1948-09-01,-0.0293,24.5,0.0004
1948-10-01,0.06,24.4,0.0004
1948-11-01,-0.0926,24.2,0.0004
1948-12-01,0.033,24.1,0.0004
1949-01-01,0.0033,24.0,0.001
1949-02-01,-0.0284,23.8,0.0009
1949-03-01,0.0414,23.8,0.001
1949-04-01,-0.0178,23.9,0.0009
1949-05-01,-0.0284,23.8,0.001
1949-06-01,0.002,23.9,0.001
1949-07-01,0.0563,23.7,0.0009
1949-08-01,0.0269,23.8,0.0009
1949-09-01,0.0318,23.9,0.0009
1949-10-01,0.0323,23.7,0.0009
1949-11-01,0.019,23.8,0.0008
1949-12-01,0.0522,23.6,0.0009
1950-01-01,0.0179,23.5,0.0009
1950-02-01,0.0157,23.5,0.0009
1950-03-01,0.0136,23.6,0.001
1950-04-01,0.0403,23.6,0.0009
1950-05-01,0.0441,23.7,0.001
1950-06-01,-0.0584,23.8,0.001
1950-07-01,0.0146,24.1,0.001
1950-08-01,0.0495,24.3,0.001
1950-09-01,0.0491,24.4,0.001
1950-10-01,-0.0006,24.6,0.0012
1950-11-01,0.0287,24.7,0.0011
1950-12-01,0.0565,25.0,0.0011
1951-01-01,0.0583,25.4,0.0013
1951-02-01,0.0151,25.7,0.001
1951-03-01,-0.0204,25.8,0.0011
1951-04-01,0.0499,25.8,0.0013
1951-05-01,-0.0222,25.9,0.0012
1951-06-01,-0.025,25.9,0.0012
1951-07-01,0.0707,25.9,0.0013
1951-08-01,0.044,25.9,0.0013
1951-09-01,0.0082,26.1,0.0012
1951-10-01,-0.0237,26.2,0.0016
1951-11-01,0.0068,26.4,0.0011
1951-12-01,0.0345,26.5,0.0012
1952-01-01,0.016,26.5,0.0015
1952-02-01,-0.025,26.3,0.0012
1952-03-01,0.0455,26.3,0.0011
1952-04-01,-0.0485,26.4,0.0012
1952-05-01,0.0333,26.4,0.0013
1952-06-01,0.0398,26.5,0.0015
1952-07-01,0.0106,26.7,0.0015
1952-08-01,-0.0061,26.7,0.0015
1952-09-01,-0.0187,26.7,0.0016
1952-10-01,-0.0052,26.7,0.0014000000000000002
1952-11-01,0.0604,26.7,0.001
1952-12-01,0.0309,26.7,0.0016
1953-01-01,-0.0018,26.6,0.0016
1953-02-01,-0.0013,26.5,0.0014000000000000002
1953-03-01,-0.0125,26.6,0.0018
1953-04-01,-0.0267,26.6,0.0016
1953-05-01,0.0069,26.7,0.0017000000000000001
1953-06-01,-0.0171,26.8,0.0018
1953-07-01,0.0255,26.8,0.0015
1953-08-01,-0.0435,26.9,0.0017000000000000001
1953-09-01,0.0036,26.9,0.0016
1953-10-01,0.0473,27.0,0.0013
1953-11-01,0.0291,26.9,0.0008
1953-12-01,0.0016,26.9,0.0013
1954-01-01,0.0524,26.9,0.0011
1954-02-01,0.0174,26.9,0.0007000000000000001
1954-03-01,0.0373,26.9,0.0008
1954-04-01,0.0436,26.8,0.0009
1954-05-01,0.0314,26.9,0.0005
1954-06-01,0.0113,26.9,0.0006
1954-07-01,0.0504,26.9,0.0005
1954-08-01,-0.0229,26.9,0.0005
1954-09-01,0.0648,26.8,0.0009
1954-10-01,-0.016,26.8,0.0007000000000000001
1954-11-01,0.0944,26.8,0.0006
1954-12-01,0.0556,26.7,0.0008
1955-01-01,0.0068,26.7,0.0008
1955-02-01,0.0311,26.7,0.0009
1955-03-01,-0.0006,26.7,0.001
1955-04-01,0.0321,26.7,0.001
1955-05-01,0.0107,26.7,0.0014000000000000002
1955-06-01,0.0665,26.7,0.001
1955-07-01,0.02,26.8,0.001
1955-08-01,0.0037,26.8,0.0016
1955-09-01,-0.002,26.9,0.0016
1955-10-01,-0.025,26.9,0.0018
1955-11-01,0.072,26.9,0.0017000000000000001
1955-12-01,0.0167,26.8,0.0018
1956-01-01,-0.0281,26.8,0.0022
1956-02-01,0.0396,26.8,0.0019
1956-03-01,0.0679,26.8,0.0015
1956-04-01,0.0047,26.9,0.0019
1956-05-01,-0.0497,27.0,0.0023
1956-06-01,0.0368,27.2,0.002
1956-07-01,0.0506,27.4,0.0022
1956-08-01,-0.0301,27.3,0.0017000000000000001
1956-09-01,-0.0496,27.4,0.0018
1956-10-01,0.0077,27.5,0.0025
1956-11-01,0.0056,27.5,0.002
1956-12-01,0.034,27.6,0.0024
1957-01-01,-0.0331,27.6,0.0027
1957-02-01,-0.0182,27.7,0.0024
1957-03-01,0.0236,27.8,0.0023
1957-04-01,0.0451,27.9,0.0025
1957-05-01,0.0371,28.0,0.0026
1957-06-01,-0.005,28.1,0.0024
1957-07-01,0.0096,28.3,0.003
1957-08-01,-0.0486,28.3,0.0025
1957-09-01,-0.0572,28.3,0.0026
1957-10-01,-0.0403,28.3,0.0029
1957-11-01,0.0258,28.4,0.0028000000000000004
1957-12-01,-0.0367,28.4,0.0024
1958-01-01,0.0494,28.6,0.0028000000000000004
1958-02-01,-0.014,28.6,0.0012
1958-03-01,0.0336,28.8,0.0009
1958-04-01,0.0317,28.9,0.0008
1958-05-01,0.0242,28.9,0.0011
1958-06-01,0.0296,28.9,0.0003
1958-07-01,0.0446,29.0,0.0007000000000000001
1958-08-01,0.0195,28.9,0.0004
1958-09-01,0.0485,28.9,0.0019
1958-10-01,0.0271,28.9,0.0018
1958-11-01,0.0312,29.0,0.0011
1958-12-01,0.0537,28.9,0.0022
1959-01-01,0.0092,29.0,0.0021
1959-02-01,0.0114,28.9,0.0019
1959-03-01,0.005,28.9,0.0022
1959-04-01,0.0386,29.0,0.002
1959-05-01,0.0195,29.0,0.0022
1959-06-01,0.0,29.1,0.0025
1959-07-01,0.0342,29.2,0.0025
1959-08-01,-0.012,29.2,0.0019
1959-09-01,-0.0449,29.3,0.0031
1959-10-01,0.0158,29.4,0.003
1959-11-01,0.0186,29.4,0.0026
1959-12-01,0.0279,29.4,0.0034000000000000002
1960-01-01,-0.0665,29.3,0.0033
1960-02-01,0.0146,29.4,0.0029
1960-03-01,-0.0128,29.4,0.0034999999999999996
1960-04-01,-0.0152,29.5,0.0019
1960-05-01,0.0339,29.5,0.0027
1960-06-01,0.0232,29.6,0.0024
1960-07-01,-0.0224,29.6,0.0013
1960-08-01,0.0318,29.6,0.0017000000000000001
1960-09-01,-0.0583,29.6,0.0016
1960-10-01,-0.0049,29.8,0.0022
1960-11-01,0.0482,29.8,0.0013
1960-12-01,0.0487,29.8,0.0016
1961-01-01,0.0639,29.8,0.0019
1961-02-01,0.0371,29.8,0.0014000000000000002
1961-03-01,0.0309,29.8,0.002
1961-04-01,0.0046,29.8,0.0017000000000000001
1961-05-01,0.0258,29.8,0.0018
1961-06-01,-0.0288,29.8,0.002
1961-07-01,0.0301,30.0,0.0018
1961-08-01,0.0271,29.9,0.0014000000000000002
1961-09-01,-0.0198,30.0,0.0017000000000000001
