Date,Mkt,CPI,RF,SnP,Return,Bond
1928-01-01,-0.0043,17.3,0.25,17.65999985,-0.0043,1
1928-02-01,-0.0137,17.1,0.33,17.53000069,-0.007361221,1
1928-03-01,0.091,17.1,0.29,17.29999924,-0.013120447,1
1928-04-01,0.0445,17.1,0.22,19.28000069,0.114450956,1
1928-05-01,0.0184,17.2,0.32,19.78000069,0.025933609,1
1928-06-01,-0.0454,17.1,0.31,20.06999969,0.014661223,1
1928-07-01,0.0094,17.1,0.32,19.13999939,-0.046337834,1
1928-08-01,0.07,17.1,0.32,19.42000008,0.014629085,1
1928-09-01,0.0315,17.3,0.27,20.87000084,0.074665333,1
1928-10-01,0.0174,17.2,0.41,21.36000061,0.023478666,1
1928-11-01,0.1219,17.2,0.38,21.98999977,0.029494342,1
1928-12-01,0.0042,17.1,0.06,24.28000069,0.104138287,1
1929-01-01,0.05,17.1,0.34,24.35000038,0.002883019,1
1929-02-01,0.0002,17.1,0.36,25.84000015,0.061190955,1
1929-03-01,-0.0055,17,0.34,25.82999992,-0.000387006,1
1929-04-01,0.0179,16.9,0.36,24.87999916,-0.036778969,1
1929-05-01,-0.0595,17,0.44,25.98999977,0.044614174,1
1929-06-01,0.1022,17.1,0.52,24.82999992,-0.044632546,1
1929-07-01,0.0479,17.3,0.33,27.77000046,0.118405177,1
1929-08-01,0.0858,17.3,0.4,29.07999992,0.047173188,1
1929-09-01,-0.0512,17.3,0.35,31.70999908,0.090440136,1
1929-10-01,-0.1966,17.3,0.46,29.97999954,-0.054556909,1
1929-11-01,-0.1237,17.3,0.37,24.14999962,-0.194462976,1
1929-12-01,0.017,17.2,0.37,20.92000008,-0.133747395,1
1930-01-01,0.0575,17.1,0.14,21.45000076,0.025334641,1
1930-02-01,0.028,17,0.3,22.79000092,0.062470867,1
1930-03-01,0.0745,16.9,0.35,23.28000069,0.021500647,1
1930-04-01,-0.0185,17,0.21,25.37000084,0.089776636,1
1930-05-01,-0.014,16.9,0.26,24.29999924,-0.04217586,1
1930-06-01,-0.16,16.8,0.27,24.48999977,0.007818952,1
1930-07-01,0.0432,16.6,0.2,20.23999977,-0.173540222,1
1930-08-01,0.0039,16.5,0.09,21.11000061,0.042984232,1
1930-09-01,-0.1253,16.6,0.22,21.37000084,0.012316448,1
1930-10-01,-0.0869,16.5,0.09,19.42000008,-0.091249447,1
1930-11-01,-0.0291,16.4,0.13,16.94000053,-0.127703374,1
1930-12-01,-0.0769,16.1,0.14,16.79999924,-0.008264539,1
1931-01-01,0.0639,15.9,0.15,15.34000015,-0.086904711,1
1931-02-01,0.1092,15.7,0.04,16.19000053,0.055410715,1
1931-03-01,-0.063,15.6,0.13,18.03000069,0.113650407,1
1931-04-01,-0.099,15.5,0.08,16.52000046,-0.083749316,1
1931-05-01,-0.1315,15.3,0.09,14.64999962,-0.113196174,1
1931-06-01,0.1398,15.1,0.08,12.39999962,-0.153583622,1
1931-07-01,-0.0656,15.1,0.06,15.06999969,0.215322593,1
1931-08-01,0.0044,15.1,0.03,13.72999954,-0.088918393,1
1931-09-01,-0.291,15,0.03,13.92000008,0.01383835,1
1931-10-01,0.0814,14.9,0.1,9.529999733,-0.315373586,1
1931-11-01,-0.0891,14.7,0.17,10.43000031,0.094438678,1
1931-12-01,-0.1341,14.6,0.12,9.380000114,-0.100671156,1
1932-01-01,-0.0135,14.3,0.23,8.119999886,-0.134328381,1
1932-02-01,0.0569,14.1,0.23,8.229999542,0.013546756,1
1932-03-01,-0.1105,14,0.16,8.350000381,0.014580905,1
1932-04-01,-0.1785,13.9,0.11,7.179999828,-0.14011982,1
1932-05-01,-0.2045,13.7,0.06,5.829999924,-0.188022275,1
1932-06-01,-0.0068,13.6,0.02,4.400000095,-0.245282993,1
1932-07-01,0.3387,13.6,0.03,4.599999905,0.045454501,1
1932-08-01,0.3709,13.5,0.03,6.110000134,0.328260926,1
1932-09-01,-0.0291,13.4,0.03,8.470000267,0.386252059,1
1932-10-01,-0.1315,13.3,0.02,8.079999924,-0.046044903,1
