,Date,Mkt,CPI,RF,Return,SnP
0,1928-01-01,-0.0043,17.3,0.0025,-0.0043,1.0
1,1928-02-01,-0.0137,17.1,0.0033,-0.0137,0.9863
2,1928-03-01,0.091,17.1,0.0029,0.091,1.0760532999999999
3,1928-04-01,0.0445,17.1,0.0022,0.0445,1.12393767185
4,1928-05-01,0.0184,17.2,0.0032,0.0184,1.14461812501204
5,1928-06-01,-0.0454,17.1,0.0031,-0.0454,1.0926524621364933
6,1928-07-01,0.0094,17.1,0.0032,0.0094,1.1029233952805764
7,1928-08-01,0.07,17.1,0.0032,0.07,1.1801280329502168
8,1928-09-01,0.0315,17.3,0.0027,0.0315,1.217302065988149
9,1928-10-01,0.0174,17.2,0.0040999999999999,0.0174,1.238483121936343
10,1928-11-01,0.1219,17.2,0.0038,0.1219,1.3894542145003832
11,1928-12-01,0.0042,17.1,0.0006,0.0042,1.3952899222012847
12,1929-01-01,0.05,17.1,0.0034,0.05,1.465054418311349
13,1929-02-01,0.0002,17.1,0.0036,0.0002,1.4653474291950113
14,1929-03-01,-0.0055,17.0,0.0034,-0.0055,1.4572880183344388
15,1929-04-01,0.0179,16.9,0.0036,0.0179,1.4833734738626252
16,1929-05-01,-0.0595,17.0,0.0044,-0.0595,1.3951127521677993
17,1929-06-01,0.1022,17.1,0.0052,0.1022,1.5376932754393482
18,1929-07-01,0.0479,17.3,0.0033,0.0479,1.6113487833328932
19,1929-08-01,0.0858,17.3,0.004,0.0858,1.7496025089428555
20,1929-09-01,-0.0512,17.3,0.0034999999999999,-0.0512,1.6600228604849812
21,1929-10-01,-0.1966,17.3,0.0046,-0.1966,1.333662366113634
22,1929-11-01,-0.1237,17.3,0.0037,-0.1237,1.1686883314253773
23,1929-12-01,0.017,17.2,0.0037,0.017,1.1885560330596088
24,1930-01-01,0.0575,17.1,0.0014,0.0575,1.2568980049605363
25,1930-02-01,0.028,17.0,0.003,0.028,1.2920911490994311
26,1930-03-01,0.0745,16.9,0.0034999999999999,0.0745,1.388351939707339
27,1930-04-01,-0.0185,17.0,0.0021,-0.0185,1.3626674288227532
28,1930-05-01,-0.014,16.9,0.0026,-0.014,1.3435900848192346
29,1930-06-01,-0.16,16.8,0.0027,-0.16,1.128615671248157
30,1930-07-01,0.0432,16.6,0.002,0.0432,1.1773718682460772
31,1930-08-01,0.0039,16.5,0.0009,0.0039,1.1819636185322369
32,1930-09-01,-0.1253,16.6,0.0022,-0.1253,1.0338635771301474
33,1930-10-01,-0.0869,16.5,0.0009,-0.0869,0.9440208322775377
34,1930-11-01,-0.0291,16.4,0.0013,-0.0291,0.9165498260582613
35,1930-12-01,-0.0769,16.1,0.0014,-0.0769,0.8460671444343811
36,1931-01-01,0.0639,15.9,0.0015,0.0639,0.900130834963738
37,1931-02-01,0.1092,15.7,0.0004,0.1092,0.9984251221417781
38,1931-03-01,-0.063,15.6,0.0013,-0.063,0.9355243394468462
39,1931-04-01,-0.099,15.5,0.0008,-0.099,0.8429074298416084
40,1931-05-01,-0.1315,15.3,0.0009,-0.1315,0.732065102817437
41,1931-06-01,0.1398,15.1,0.0008,0.1398,0.8344078041913147
42,1931-07-01,-0.0656,15.1,0.0006,-0.0656,0.7796706522363643
43,1931-08-01,0.0044,15.1,0.0003,0.0044,0.7831012031062043
44,1931-09-01,-0.291,15.0,0.0003,-0.291,0.555218753002299
45,1931-10-01,0.0814,14.9,0.001,0.0814,0.6004135594966861
46,1931-11-01,-0.0891,14.7,0.0017,-0.0891,0.5469167113455313
47,1931-12-01,-0.1341,14.6,0.0012,-0.1341,0.4735751803540956
48,1932-01-01,-0.0135,14.3,0.0023,-0.0135,0.46718191541931536
49,1932-02-01,0.0569,14.1,0.0023,0.0569,0.49376456640667443
50,1932-03-01,-0.1105,14.0,0.0016,-0.1105,0.4392035818187369
51,1932-04-01,-0.1785,13.9,0.0011,-0.1785,0.36080574246409236
52,1932-05-01,-0.2045,13.7,0.0006,-0.2045,0.28702096813018546
53,1932-06-01,-0.0068,13.6,0.0002,-0.0068,0.2850692255469002
54,1932-07-01,0.3387,13.6,0.0003,0.3387,0.38162217223963524
55,1932-08-01,0.3709,13.5,0.0003,0.3709,0.523165835923316
56,1932-09-01,-0.0291,13.4,0.0003,-0.0291,0.5079417100979475
57,1932-10-01,-0.1315,13.3,0.0002,-0.1315,0.4411473752200675
58,1932-11-01,-0.0586,13.2,0.0002,-0.0586,0.4152961390321715
59,1932-12-01,0.0441,13.1,0.0001,0.0441,0.4336106987634903
60,1933-01-01,0.0126,12.9,0.0001,0.0126,0.4390741935679102
61,1933-02-01,-0.1527,12.7,-0.0003,-0.1527,0.3720275642100903
62,1933-03-01,0.0333,12.6,0.0004,0.0333,0.3844160820982864
63,1933-04-01,0.3895,12.6,0.001,0.3895,0.534146146075569
64,1933-05-01,0.2147,12.6,0.0004,0.2147,0.6488273236379937
65,1933-06-01,0.1313,12.7,0.0002,0.1313,0.7340183512316623
66,1933-07-01,-0.0961,13.1,0.0002,-0.0961,0.6634791876782995
67,1933-08-01,0.1208,13.2,0.0003,0.1208,0.7436274735498382
68,1933-09-01,-0.1063,13.2,0.0002,-0.1063,0.6645798731114902
69,1933-10-01,-0.0835,13.2,0.0001,-0.0835,0.6090874537066808
70,1933-11-01,0.0999,13.2,0.0002,0.0999,0.6699352903319783
71,1933-12-01,0.0185,13.2,0.0002,0.0185,0.6823290932031199
72,1934-01-01,0.1265,13.2,0.0005,0.1265,0.7686437234933146
73,1934-02-01,-0.0248,13.3,0.0002,-0.0248,0.7495813591506804
74,1934-03-01,0.0011,13.3,0.0002,0.0011,0.7504058986457461
75,1934-04-01,-0.0178,13.3,0.0001,-0.0178,0.7370486736498518
76,1934-05-01,-0.0724,13.3,0.0001,-0.0724,0.6836863496776024
77,1934-06-01,0.0265,13.4,0.0001,0.0265,0.701804037944059
78,1934-07-01,-0.1095,13.4,0.0001,-0.1095,0.6249564957891846
79,1934-08-01,0.0559,13.4,0.0001,0.0559,0.6598915639038
80,1934-09-01,-0.0022,13.6,0.0001,-0.0022,0.6584398024632117
81,1934-10-01,-0.0165,13.5,0.0001,-0.0165,0.6475755457225687
82,1934-11-01,0.0834,13.5,0.0001,0.0834,0.7015833462358309
83,1934-12-01,0.0037,13.4,0.0001,0.0037,0.7041792046169035
84,1935-01-01,-0.0344,13.6,0.0001,-0.0344,0.679955439978082
85,1935-02-01,-0.0192,13.7,0.0002,-0.0192,0.6669002955305029
86,1935-03-01,-0.0367,13.7,0.0001,-0.0367,0.6424250546845335
87,1935-04-01,0.0907,13.8,0.0001,0.0907,0.7006930071444207
88,1935-05-01,0.0348,13.8,0.0001,0.0348,0.7250771237930465
89,1935-06-01,0.0594,13.7,0.0001,0.0594,0.7681467049463533
90,1935-07-01,0.0752,13.7,0.0001,0.0752,0.825911337158319
91,1935-08-01,0.0266,13.7,0.0001,0.0266,0.8478805787267303
92,1935-09-01,0.0264,13.7,0.0001,0.0264,0.8702646260051159
93,1935-10-01,0.0704,13.7,0.0001,0.0704,0.931531255675876
94,1935-11-01,0.049,13.8,0.0002,0.049,0.977176287203994
95,1935-12-01,0.0457,13.8,0.0001,0.0457,1.0218332435292166
96,1936-01-01,0.069,13.8,0.0001,0.069,1.0923397373327324
